episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/__all__/num_agent_steps_trained,info/learner/__all__/num_env_steps_trained,info/learner/__all__/total_loss,info/learner/drone1/total_loss,info/learner/drone1/policy_loss,info/learner/drone1/vf_loss,info/learner/drone1/vf_loss_unclipped,info/learner/drone1/vf_explained_var,info/learner/drone1/entropy,info/learner/drone1/mean_kl_loss,info/learner/drone1/default_optimizer_lr,info/learner/drone1/curr_lr,info/learner/drone1/curr_entropy_coeff,info/learner/drone1/curr_kl_coeff,info/learner/drone2/total_loss,info/learner/drone2/policy_loss,info/learner/drone2/vf_loss,info/learner/drone2/vf_loss_unclipped,info/learner/drone2/vf_explained_var,info/learner/drone2/entropy,info/learner/drone2/mean_kl_loss,info/learner/drone2/default_optimizer_lr,info/learner/drone2/curr_lr,info/learner/drone2/curr_entropy_coeff,info/learner/drone2/curr_kl_coeff,info/learner/drone3/total_loss,info/learner/drone3/policy_loss,info/learner/drone3/vf_loss,info/learner/drone3/vf_loss_unclipped,info/learner/drone3/vf_explained_var,info/learner/drone3/entropy,info/learner/drone3/mean_kl_loss,info/learner/drone3/default_optimizer_lr,info/learner/drone3/curr_lr,info/learner/drone3/curr_entropy_coeff,info/learner/drone3/curr_kl_coeff
nan,nan,nan,nan,0,0,4,0,0,1536,0,512,0,512,0,31.488994552926997,0.0,512,0,1536,False,0,1,3628a_00000,2023-11-21_10-54-43,1700544283,16.263901710510254,16.263901710510254,482471,beast,10.10.3.187,16.263901710510254,1,512,0,1536,0,nan,nan,nan,nan,0,0,[],[],16259.46,3194.488,102.74,512,0,1536,0,3.5291666666666663,10.454166666666667,[],[],192.0,512.0,0.7883281234651804,0.7883281234651804,-0.0032301340019330383,1.0653284201112001e-05,1.0653284201112001e-05,-0.7020609378814697,1.385766363143921,7.456832482051201e-05,2e-05,2e-05,0.1,0.10000000149011612,0.4829172916710377,-0.0035117007791996002,2.5000146121842532,189876.88829586218,-0.49201719388365744,1.3859328359365464,9.31571376374396e-05,2e-05,2e-05,0.1,0.10000000149011612,0.4472000299640058,-0.002700294554233551,2.3539804456483866,97572.50430514792,-0.4398641295731068,1.3860969439148902,7.452015705870647e-05,2e-05,2e-05,0.1,0.10000000149011612
nan,nan,nan,nan,0,0,4,0,0,3072,0,1024,0,512,0,29.874783402693208,0.0,1024,0,3072,False,0,2,3628a_00000,2023-11-21_10-55-00,1700544300,17.14378523826599,33.407686948776245,482471,beast,10.10.3.187,33.407686948776245,2,1024,0,3072,0,nan,nan,nan,nan,0,0,[],[],16698.762,2934.446,112.974,1024,0,3072,0,4.366666666666667,10.570833333333333,[],[],192.0,512.0,0.823292040079832,0.823292040079832,-0.004008542746305466,7.4606402733934376e-06,7.4606402733934376e-06,-0.11958340629935264,1.3854809522628784,0.00014461592546766155,2e-05,2e-05,0.1,0.05000000074505806,0.4831221248954535,-0.0032931938767433167,2.5000082950993003,189877.0531332951,-0.16947053000330925,1.3859376430511474,7.018090943091692e-05,2e-05,2e-05,0.1,0.05000000074505806,0.48271022997796537,-0.0037051498889923095,2.5000043632012163,189872.2101606132,-0.15382117927074432,1.3859810531139374,0.00012405111836493176,2e-05,2e-05,0.1,0.05000000074505806
nan,nan,nan,nan,0,0,4,0,0,4608,0,1536,0,512,0,18.975176851320267,0.0,1536,0,4608,False,0,3,3628a_00000,2023-11-21_10-55-27,1700544327,26.98583436012268,60.393521308898926,482471,beast,10.10.3.187,60.393521308898926,3,1536,0,4608,0,nan,nan,nan,nan,0,0,[],[],20126.69,3032.397,103.895,1536,0,4608,0,3.4666666666666663,10.633333333333335,[],[],192.0,512.0,0.8209219288080931,0.8209219288080931,-0.0067296227440238,3.3824857723629975e-06,3.3824857723629975e-06,-0.2515045449137688,1.3841785848140717,0.0003784090537871876,2e-05,2e-05,0.1,0.02500000037252903,0.4828488003462553,-0.003571575880050659,2.5000076937970106,189876.9289139438,-0.22961660772562026,1.385857842862606,8.486522860544632e-05,2e-05,2e-05,0.1,0.02500000037252903,0.48320084512233735,-0.0032327011227607726,2.5000021539657196,189873.68672090396,-0.026156599819660186,1.385725738108158,0.00011186079728986442,2e-05,2e-05,0.1,0.02500000037252903
nan,nan,nan,nan,0,0,4,0,0,6144,0,2048,0,512,0,36.05081519865594,0.0,2048,0,6144,False,0,4,3628a_00000,2023-11-21_10-55-41,1700544341,14.206629037857056,74.60015034675598,482471,beast,10.10.3.187,74.60015034675598,4,2048,0,6144,0,nan,nan,nan,nan,0,0,[],[],18645.536,2751.552,101.214,2048,0,6144,0,3.3349999999999995,10.689999999999998,[],[],192.0,512.0,0.8174897972494364,0.8174897972494364,-0.0071913796244189145,5.4529483158205496e-06,5.4529483158205496e-06,-0.16827799379825592,1.380699521303177,0.0005417147785621524,2e-05,2e-05,0.1,0.012500000186264515,0.4817183889448643,-0.004723700881004334,2.5000065408994265,189876.80703779092,-0.17947963550686835,1.3856416150927544,0.0001849877012194412,2e-05,2e-05,0.1,0.012500000186264515,0.4810178391635418,-0.00548478364944458,2.5000029105013017,189873.9859404105,-0.2152266137301922,1.3850205808877945,0.00015807591091760998,2e-05,2e-05,0.1,0.012500000186264515
nan,nan,nan,nan,0,0,4,0,0,7680,0,2560,0,512,0,32.137324619410364,0.0,2560,0,7680,False,0,5,3628a_00000,2023-11-21_10-55-57,1700544357,15.945369720458984,90.54552006721497,482471,beast,10.10.3.187,90.54552006721497,5,2560,0,7680,0,nan,nan,nan,nan,0,0,[],[],18102.728,2855.149,104.411,2560,0,7680,0,3.508695652173914,10.656521739130431,[],[],192.0,512.0,0.8171686679124832,0.8171686679124832,-0.006401268998160958,3.5558492177401035e-06,3.5558492177401035e-06,-0.07269610911607742,1.3778253272175789,0.00019439272469083945,2e-05,2e-05,0.1,0.0062500000931322575,0.4812630496919155,-0.0052157178521156315,2.5000040598556863,373713.7414103098,-0.08966951742768288,1.385246466100216,0.00019235812041173972,2e-05,2e-05,0.1,0.0062500000931322575,0.4800861071795225,-0.0064859606325626375,2.500002221234483,709401.1000022212,-0.10220137089490891,1.3843165799975394,0.00025349510564698363,2e-05,2e-05,0.1,0.0062500000931322575
nan,nan,nan,nan,0,0,4,0,0,9216,0,3072,0,512,0,16.607293032074306,0.0,3072,0,9216,False,0,6,3628a_00000,2023-11-21_10-56-28,1700544388,30.835692882537842,121.38121294975281,482471,beast,10.10.3.187,121.38121294975281,6,3072,0,9216,0,nan,nan,nan,nan,0,0,[],[],20223.888,2894.279,112.402,3072,0,9216,0,2.9181818181818184,10.68181818181818,[],[],192.0,512.0,0.8166909411549568,0.8166909411549568,-0.007520238659344614,4.8110344263108115e-06,4.8110344263108115e-06,0.1818333774805069,1.3771769270300864,0.00041234407823722565,2e-05,2e-05,0.1,0.0031250000465661287,0.48026107139885427,-0.006205852329730988,2.5000058802832568,759505.1031308803,-0.16809276565909387,1.3853565439581872,0.0001774053331487835,2e-05,2e-05,0.1,0.0031250000465661287,0.48166402205824854,-0.00494886115193367,2.500003547700217,759500.9375035476,-0.07107365876436234,1.3838913097977639,0.0001814136930011756,2e-05,2e-05,0.1,0.0031250000465661287
nan,nan,nan,nan,0,0,4,0,0,10752,0,3584,0,512,0,27.596934672360078,0.0,3584,0,10752,False,0,7,3628a_00000,2023-11-21_10-56-47,1700544407,18.557432889938354,139.93864583969116,482471,beast,10.10.3.187,139.93864583969116,7,3584,0,10752,0,nan,nan,nan,nan,0,0,[],[],19985.143,2941.077,115.689,3584,0,10752,0,2.81923076923077,10.699999999999998,[],[],192.0,512.0,0.8131751649081707,0.8131751649081707,-0.00983866272144951,2.1390502602081083e-06,2.1390502602081083e-06,0.252105837315321,1.376955996453762,0.0006377868878800541,2e-05,2e-05,0.1,0.0015625000232830644,0.48099397830665114,-0.005459637939929962,2.5000048628846647,759506.3093798629,0.03220207244157791,1.3854804068803788,0.0001434329865736661,2e-05,2e-05,0.1,0.0015625000232830644,0.47971292547881605,-0.006907282024621963,2.5000033391482477,759500.7750033392,0.34276704862713814,1.3838142305612564,0.00025195433896954,2e-05,2e-05,0.1,0.0015625000232830644
nan,nan,nan,nan,0,0,4,0,0,12288,0,4096,0,512,0,21.197731257904174,0.0,4096,0,12288,False,0,8,3628a_00000,2023-11-21_10-57-11,1700544431,24.159221649169922,164.09786748886108,482471,beast,10.10.3.187,164.09786748886108,8,4096,0,12288,0,nan,nan,nan,nan,0,0,[],[],20506.171,2773.738,125.96,4096,0,12288,0,2.845714285714286,10.677142857142854,[],[],192.0,512.0,0.8095806762576103,0.8095806762576103,-0.009345541265793145,3.525938681381291e-06,3.525938681381291e-06,0.07465296313166618,1.3794722095131875,0.0006330276312869643,2e-05,2e-05,0.1,0.0007812500116415322,0.47818419337272644,-0.008318505436182021,2.5000043861776335,759505.6593793862,-0.023209470510482787,1.3849892422556878,0.0003421697899622878,2e-05,2e-05,0.1,0.0007812500116415322,0.47868737690150737,-0.007999521493911744,2.5000032884950936,759500.9125032885,-0.0386118970811367,1.3831455931067467,0.00039904312700400624,2e-05,2e-05,0.1,0.0007812500116415322
nan,nan,nan,nan,0,0,4,0,0,13824,0,4608,0,512,0,15.397795139404991,0.0,4608,0,13824,False,0,9,3628a_00000,2023-11-21_10-57-44,1700544464,33.25541806221008,197.35328555107117,482471,beast,10.10.3.187,197.35328555107117,9,4608,0,13824,0,nan,nan,nan,nan,0,0,[],[],21922.314,2643.149,130.255,4608,0,13824,0,2.8489361702127662,10.693617021276594,[],[],192.0,512.0,1.4336686544120312,1.4336686544120312,-0.009451512387022376,4.2850199239552465e-06,4.2850199239552465e-06,0.26534474417567255,1.3822603836655616,0.0004937008543571153,2e-05,2e-05,0.1,0.0003906250058207661,0.4783804140985012,-0.0082624189555645,2.500005621012748,759505.631255621,0.13471297770738602,1.3835884228348732,0.0003592262818589376,2e-05,2e-05,0.1,0.0003906250058207661,1.102964349836111,-0.00888773575425148,5.000002243369616,929247.6328147433,0.04597818851470947,1.3814882680773735,0.00046849103590957953,2e-05,2e-05,0.1,0.0003906250058207661
nan,nan,nan,nan,0,0,4,0,0,15360,0,5120,0,512,0,17.919762860193835,0.0,5120,0,15360,False,0,10,3628a_00000,2023-11-21_10-58-13,1700544493,28.575632095336914,225.92891764640808,482471,beast,10.10.3.187,225.92891764640808,10,5120,0,15360,0,nan,nan,nan,nan,0,0,[],[],22587.257,2755.448,130.131,5120,0,15360,0,2.8536585365853657,10.685365853658535,[],[],192.0,512.0,1.4244455240666867,1.4244455240666867,-0.017254581791348755,2.8617963328869677e-06,2.8617963328869677e-06,0.4064770296216011,1.3821597069501876,0.0014301670899797615,2e-05,2e-05,0.1,0.00019531250291038305,0.4787170421332121,-0.008045851439237594,2.5000043301705572,759505.7156293301,0.005440189689397812,1.3823827788233758,0.000265827938807206,2e-05,2e-05,0.1,0.00019531250291038305,1.1011977694928645,-0.010998358018696308,5.000001098302038,949377.1750010982,0.13608198687434198,1.3780439332127572,0.0006907069786514341,2e-05,2e-05,0.1,0.00019531250291038305
